Activity Description,User,Date,Time,Reason for change,Anomaly
Started coating process for batch #003,operator1,8/27/2024,10:30:00,Not Available,0
Adjusted inlet air temperature from 148°C to 153°C,operator1,8/27/2024,10:35:00,Not Available,0
Adjusted spray rate from 11 mL/min to 13 mL/min,operator1,8/27/2024,10:40:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,10:45:00,Not Available,0
Changed coating solution to type A,operator1,8/27/2024,10:50:00,Not Available,0
Adjusted drum speed from 15 RPM to 27 RPM,operator1,8/27/2024,10:55:00,Not Available,1
Performed final quality check,operator1,8/27/2024,11:00:00,Not Available,0
Stopped coating process for batch #003,operator1,8/27/2024,11:05:00,Not Available,0
Logged out of the system,operator1,8/27/2024,11:10:00,Not Available,0
User logged into the system,operator1,8/27/2024,11:15:00,Not Available,0
Loaded recipe for batch #004,operator1,8/27/2024,11:20:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,11:25:00,Not Available,0
Verified calibration of scales,operator1,8/27/2024,11:30:00,Not Available,0
Started coating process for batch #004,operator1,8/27/2024,11:35:00,Not Available,0
Adjusted inlet air temperature from 149°C to 154°C,operator1,8/27/2024,11:40:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,11:45:00,Not Available,1
Changed coating solution to type B,operator1,8/27/2024,11:50:00,Not Available,0
Adjusted drum speed from 16 RPM to 19 RPM,operator1,8/27/2024,11:55:00,Not Available,0
Performed final quality check,operator1,8/27/2024,12:00:00,Not Available,0
Stopped coating process for batch #004,operator1,8/27/2024,12:05:00,Not Available,0
Logged out of the system,operator1,8/27/2024,12:10:00,Not Available,0
User logged into the system,operator1,8/27/2024,12:15:00,Not Available,0
Loaded recipe for batch #005,operator1,8/27/2024,12:20:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,12:25:00,Not Available,0
Verified calibration of scales,operator1,8/27/2024,12:30:00,Not Available,0
Started coating process for batch #005,operator1,8/27/2024,12:35:00,Not Available,0
Adjusted inlet air temperature from 150°C to 155°C,operator1,8/27/2024,12:40:00,Not Available,0
Adjusted spray rate from 13 mL/min to 15 mL/min,operator1,8/27/2024,12:45:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,12:50:00,Not Available,0
Changed coating solution to type C,operator1,8/27/2024,12:55:00,Not Available,0
Adjusted drum speed from 17 RPM to 20 RPM,operator1,8/27/2024,13:00:00,Not Available,0
Performed final quality check,operator1,8/27/2024,13:05:00,Not Available,0
Stopped coating process for batch #005,operator1,8/27/2024,13:10:00,Not Available,0
Logged out of the system,operator1,8/27/2024,13:15:00,Not Available,0
User logged into the system,operator1,8/27/2024,13:20:00,Not Available,0
Loaded recipe for batch #006,operator1,8/27/2024,13:25:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,13:30:00,Not Available,0
Verified calibration of scales,operator1,8/27/2024,13:35:00,Not Available,0
Started coating process for batch #006,operator1,8/27/2024,13:40:00,Not Available,0
Adjusted inlet air temperature from 151°C to 156°C,operator1,8/27/2024,13:45:00,Not Available,0
Adjusted spray rate from 14 mL/min to 16 mL/min,operator1,8/27/2024,13:50:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,13:55:00,Not Available,0
Changed coating solution to type A,operator1,8/27/2024,14:00:00,Not Available,0
Adjusted drum speed from 18 RPM to 21 RPM,operator1,8/27/2024,14:05:00,Not Available,0
Performed final quality check,operator1,8/27/2024,14:10:00,Not Available,0
Stopped coating process for batch #006,operator1,8/27/2024,14:15:00,Not Available,0
Logged out of the system,operator1,8/27/2024,14:20:00,Not Available,0
